Word,Count
owners,17
sent,17
captured,17
affair,17
shape,17
shark,17
squall,17
rise,17
log,17
longer,17
solid,17
continually,17
example,17
thin,17
pole,17
Don,17
agreement,17
anywhere,16
Fast-Fish,16
roll,16
friends,16
heavens,16
motion,16
breath,16
spouts,16
God’s,16
charge,16
respect,16
crews,16
stroke,16
sing,16
Sir,16
’tis,16
lee,16
lightning,16
mystic,16
thousands,16
yonder,16
virtue,16
carries,16
meaning,16
putting,16
keen,16
thinks,16
earthly,16
unaccountable,16
floated,16
Where,16
proved,16
pleasant,16
drive,16
fairly,16
clean,16
cannibal,16
plank,16
dropping,16
actually,16
showed,16
furnished,16
neck,16
Meanwhile,16
heat,16
dragged,16
months,16
civilized,16
pilot,16
crossing,16
individual,16
spite,16
brave,16
spermaceti,16
rocks,16
fully,16
distinct,16
starboard,16
paused,16
son,16
hitherto,16
That’s,16
Because,16
feels,16
amid,16
rush,16
likewise,16
whaler,16
thunder,16
happened,16
madness,16
beach,16
fro,16
uncommon,16
originally,16
beef,16
flames,16
he’ll,16
encounter,16
encountered,16
lowering,16
golden,16
minute,16
scientific,16
horizontal,16
race,16
mentioned,16
oarsmen,16
try-works,16
doubloon,16
True,15
Loose-Fish,15
animal,15
including,15
sit,15
pains,15
sword,15
boiling,15
twelve,15
frequently,15
special,15
supposed,15
afraid,15
mention,15
immense,15
main,15
sir.”,15
rushed,15
impossible,15
return,15
rare,15
whenever,15
town,15
ourselves,15
jump,15
knowing,15
marvellous,15
invisible,15
helped,15
endless,15
Horn,15
doing,15
weary,15
Ha,15
However,15
pushed,15
muttered,15
spray,15
grass,15
working,15
space,15
bad,15
violent,15
shouted,15
thereby,15
breaking,15
disappeared,15
tried,15
Whether,15
slid,15
save,15
employed,15
tomahawk,15
palms,15
ill,15
pagan,15
troubled,15
shock,15
drag,15
watching,15
using,15
exceedingly,15
apart,15
shadow,15
history,15
utmost,15
missing,15
freely,15
Roman,15
fit,15
fore,15
spirit,15
devils,15
yes,15
Soon,15
position,15
sank,15
consider,15
wise,15
pitch,15
perilous,15
marks,15
drink,15
here’s,15
secured,15
grown,15
ends,15
noon,15
“Well,15
nearer,15
children,15
foolish,15
frantic,15
